1	1.000000000000000e+00	1.000000000000000e+00	0.000000000000000e+00
2	1.500000000000000e+00	1.500000000000000e+00	0.000000000000000e+00
3	1.833333333333333e+00	1.833333333333333e+00	0.000000000000000e+00
4	2.083333333333333e+00	2.083333333333333e+00	0.000000000000000e+00
5	2.283333333333333e+00	2.283333333333333e+00	0.000000000000000e+00
6	2.450000000000000e+00	2.450000000000000e+00	2.220446049250313e-16
7	2.592857142857143e+00	2.592857142857143e+00	0.000000000000000e+00
8	2.717857142857143e+00	2.717857142857143e+00	0.000000000000000e+00
9	2.828968253968254e+00	2.828968253968254e+00	1.110223024625157e-16
10	2.928968253968254e+00	2.928968253968254e+00	0.000000000000000e+00
11	3.019877344877345e+00	3.019877344877345e+00	0.000000000000000e+00
12	3.103210678210678e+00	3.103210678210678e+00	0.000000000000000e+00
13	3.180133755133755e+00	3.180133755133755e+00	0.000000000000000e+00
14	3.251562326562327e+00	3.251562326562326e+00	2.220446049250313e-16
15	3.318228993228994e+00	3.318228993228993e+00	2.220446049250313e-16
16	3.380728993228994e+00	3.380728993228993e+00	2.220446049250313e-16
17	3.439552522640758e+00	3.439552522640758e+00	2.220446049250313e-16
18	3.495108078196314e+00	3.495108078196314e+00	0.000000000000000e+00
19	3.547739657143682e+00	3.547739657143682e+00	2.220446049250313e-16
20	3.597739657143682e+00	3.597739657143682e+00	0.000000000000000e+00
21	3.645358704762729e+00	3.645358704762729e+00	0.000000000000000e+00
22	3.690813250217275e+00	3.690813250217275e+00	0.000000000000000e+00
23	3.734291511086840e+00	3.734291511086840e+00	0.000000000000000e+00
24	3.775958177753507e+00	3.775958177753507e+00	0.000000000000000e+00
25	3.815958177753507e+00	3.815958177753507e+00	0.000000000000000e+00
26	3.854419716215045e+00	3.854419716215046e+00	1.110223024625157e-16
27	3.891456753252082e+00	3.891456753252083e+00	1.110223024625157e-16
28	3.927171038966368e+00	3.927171038966368e+00	1.110223024625157e-16
29	3.961653797587057e+00	3.961653797587058e+00	2.220446049250313e-16
30	3.994987130920391e+00	3.994987130920391e+00	2.220446049250313e-16
31	4.027245195436520e+00	4.027245195436521e+00	2.220446049250313e-16
32	4.058495195436520e+00	4.058495195436521e+00	2.220446049250313e-16
33	4.088798225739550e+00	4.088798225739550e+00	0.000000000000000e+00
34	4.118209990445433e+00	4.118209990445433e+00	0.000000000000000e+00
35	4.146781419016861e+00	4.146781419016861e+00	0.000000000000000e+00
36	4.174559196794639e+00	4.174559196794640e+00	2.220446049250313e-16
37	4.201586223821666e+00	4.201586223821666e+00	0.000000000000000e+00
38	4.227902013295350e+00	4.227902013295351e+00	2.220446049250313e-16
39	4.253543038936376e+00	4.253543038936376e+00	2.220446049250313e-16
40	4.278543038936376e+00	4.278543038936376e+00	0.000000000000000e+00
41	4.302933282838815e+00	4.302933282838815e+00	0.000000000000000e+00
42	4.326742806648339e+00	4.326742806648339e+00	0.000000000000000e+00
43	4.349998620601827e+00	4.349998620601827e+00	0.000000000000000e+00
44	4.372725893329100e+00	4.372725893329100e+00	2.220446049250313e-16
45	4.394948115551322e+00	4.394948115551323e+00	2.220446049250313e-16
46	4.416687245986104e+00	4.416687245986105e+00	2.220446049250313e-16
47	4.437963841730785e+00	4.437963841730785e+00	2.220446049250313e-16
48	4.458797175064118e+00	4.458797175064118e+00	2.220446049250313e-16
49	4.479205338329423e+00	4.479205338329425e+00	4.440892098500626e-16
50	4.499205338329423e+00	4.499205338329425e+00	4.440892098500626e-16
51	4.518813181466678e+00	4.518813181466680e+00	4.440892098500626e-16
52	4.538043950697447e+00	4.538043950697450e+00	5.551115123125783e-16
53	4.556911875225749e+00	4.556911875225751e+00	4.440892098500626e-16
54	4.575430393744267e+00	4.575430393744270e+00	5.551115123125783e-16
55	4.593612211926086e+00	4.593612211926088e+00	3.330669073875470e-16
56	4.611469354783229e+00	4.611469354783230e+00	2.220446049250313e-16
57	4.629013214432351e+00	4.629013214432353e+00	3.330669073875470e-16
58	4.646254593742697e+00	4.646254593742698e+00	3.330669073875470e-16
59	4.663203746285070e+00	4.663203746285070e+00	2.220446049250313e-16
60	4.679870412951736e+00	4.679870412951738e+00	3.330669073875470e-16
61	4.696263855574687e+00	4.696263855574689e+00	3.330669073875470e-16
62	4.712392887832752e+00	4.712392887832753e+00	2.220446049250313e-16
63	4.728265903705767e+00	4.728265903705768e+00	2.220446049250313e-16
64	4.743890903705767e+00	4.743890903705768e+00	2.220446049250313e-16
65	4.759275519090383e+00	4.759275519090384e+00	2.220446049250313e-16
66	4.774427034241898e+00	4.774427034241899e+00	2.220446049250313e-16
67	4.789352407376227e+00	4.789352407376228e+00	2.220446049250313e-16
68	4.804058289729168e+00	4.804058289729168e+00	0.000000000000000e+00
69	4.818551043352357e+00	4.818551043352358e+00	2.220446049250313e-16
70	4.832836757638071e+00	4.832836757638072e+00	2.220446049250313e-16
71	4.846921264680325e+00	4.846921264680326e+00	2.220446049250313e-16
72	4.860810153569214e+00	4.860810153569214e+00	0.000000000000000e+00
73	4.874508783706200e+00	4.874508783706201e+00	2.220446049250313e-16
74	4.888022297219713e+00	4.888022297219714e+00	2.220446049250313e-16
75	4.901355630553047e+00	4.901355630553047e+00	0.000000000000000e+00
76	4.914513525289889e+00	4.914513525289889e+00	0.000000000000000e+00
77	4.927500538276902e+00	4.927500538276902e+00	0.000000000000000e+00
78	4.940321051097415e+00	4.940321051097415e+00	0.000000000000000e+00
79	4.952979278945516e+00	4.952979278945516e+00	0.000000000000000e+00
80	4.965479278945517e+00	4.965479278945518e+00	2.220446049250313e-16
